username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,tweet,hashtags
sharma_rm,,"Dehradun, Uttaranchal",57,494,13547,2009-08-26 03:56:36,2020-12-10 17:06:25,0,"There should be more focus on the product or service itself, less time on board meetings, less time on financials. @elonmusk  https://t.co/GpMD0kOl23",[]
amanthagawd,"Tweets powered by QuantData ğŸ¤–. 
Got paid more than I paid attention ğŸ¤·ğŸ½â€â™‚ï¸ 
all i know is STUPID WAVY OPTIONS. â„šğ•ğ•‹â„#ğŸšğŸšğŸ™

profile under-construction",ssbmsamus,296,166,15874,2013-03-30 15:21:53,2020-12-09 02:53:39,0,"ğŸ“° NEWS ALERT: Elon Musk Advises Fellow CEOs To Spend Less Time On PowerPoint And Do This Instead
ğŸ•° Time/Date: 2020-12-09T02:52:34.672000+00:00
-think.trade",[]
Temoge,"I Speak Solar...
Contact me...
to get solar at your house or commercial business
Contact me...
to be a Solar Consultant or to join a Solar Business","Ventura,  California",22100,21315,17763,2008-09-23 16:17:34,2020-12-09 01:06:22,0,Lessons from Elon Musk's favorite biography of Benjamin Franklin https://t.co/9aPqnD5NDj,[]
LLLloyd1,FATHER INTERNATIONAL NEGOTIATOR FACILITATING RESEARCH FOR ADVANCE STRATEGIES & SECURITY 105 COUNTRIES NAVY VET FUTURIST AI SOCIAL MEDIA BUSINESS CONSULTANT,World Wide,4701,3064,113584,2012-10-01 07:11:30,2020-12-09 00:30:57,0,Elon Musk relocates to Texas from California https://t.co/v4AcD0SlYu,[]
kearney_d,Motor Head,"Pitsburgh, Pa",882,705,12425,2009-09-29 01:45:38,2020-12-09 00:21:49,0,"Elon Musk relocates to Texas from California https://t.co/N7e84jeu1Q 

In other words he just want to get out of the Democrats shit hole Ghetto state",[]
amanthagawd,"Tweets powered by QuantData ğŸ¤–. 
Got paid more than I paid attention ğŸ¤·ğŸ½â€â™‚ï¸ 
all i know is STUPID WAVY OPTIONS. â„šğ•ğ•‹â„#ğŸšğŸšğŸ™

profile under-construction",ssbmsamus,296,166,15874,2013-03-30 15:21:53,2020-12-08 21:14:53,0,"ğŸ“° NEWS ALERT: Elon Musk Moves To Texas: 'California Has Been Winning For Too Long'
ğŸ•° Time/Date: 2020-12-08T21:14:28.107000+00:00
-think.trade",[]
PurSpectives_,A National Treasure.,#Synchronicity Central,3506,2992,42999,2009-02-05 17:03:54,2020-12-08 02:45:43,0,"Elon Musk Moves Foundation to Texas, Fanning Relocation Speculation https://t.co/nJJvujFUiU",[]
DrGlennJohnson,Environmental Justice Expert,"Houston, TX",2034,396,4632,2014-10-29 14:23:09,2020-12-07 23:44:47,0,"Elon Musk Moves Foundation to Texas, Fanning Relocation Speculation https://t.co/XYiOPShkiK",[]
roadshow,Your definitive source for a new age in transportation.,,455,37125,45580,2015-10-12 21:35:23,2020-12-07 17:00:57,0,Is this an Elon Musk cameo in Cyberpunk 2077? https://t.co/cS82yvJ18W,[]
thenewshooked,TheNewsHOOK is a creative news toolkit that helps print and broadcast journalists craft better stories. Explore our site at https://t.co/m7vvLdpcmT,NY,990,1619,16179,2018-12-27 17:37:19,2020-12-04 19:56:46,0,"Tesla CEO Elon Musk plans to move to Texas, friends and associates say
#News #Technology #JeffBezos #Amazon #BoringCompany #BocaChica #Austin #US #Berlin #Gruenheide #Tesla #Republican #GregAbbott
https://t.co/105D34bjyx","[{'text': 'News', 'indices': [71, 76]}, {'text': 'Technology', 'indices': [77, 88]}, {'text': 'JeffBezos', 'indices': [89, 99]}, {'text': 'Amazon', 'indices': [100, 107]}, {'text': 'BoringCompany', 'indices': [108, 122]}, {'text': 'BocaChica', 'indices': [123, 133]}, {'text': 'Austin', 'indices': [134, 141]}, {'text': 'US', 'indices': [142, 145]}, {'text': 'Berlin', 'indices': [146, 153]}, {'text': 'Gruenheide', 'indices': [154, 165]}, {'text': 'Tesla', 'indices': [166, 172]}, {'text': 'Republican', 'indices': [173, 184]}, {'text': 'GregAbbott', 'indices': [185, 196]}]"
b8rwarren,"Royalist:
Atheist:
Misanthropic and I hate you all.",The Middle Tier of Sanity,176,28,5547,2015-03-04 21:04:38,2020-12-04 13:16:47,0,When people realise the build quality of these cars (https://t.co/JTmJMfa4JX) : Tesla shares will get â€˜crushed like a soufflÃ©â€™ https://t.co/cJdICP9Eas,[]
HackermanAce,"Ichimoku King-In Kijun We Trust and Orderflow.

I trade Stock Options and Crypto since 2016


Partner @cheddarflow

All opinions

https://t.co/p1zb4MeTts",twitch.tv/acestacks,898,15563,55844,2010-05-24 05:15:30,2020-12-03 19:25:27,0,"ğŸ§ but bullish Japan stocks ?  $tm $hmc $sne $tsla 

'Big Short' investor Michael Burry reveals he's short Tesla, tells Elon Musk to issue more stock at its 'ridiculous price' https://t.co/w6NeskekbK",[]
